ClientID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderID,IAId
C1142,Gabriela Lewis,51,L342,2016-06-16,264.558.5822x048,Lebanon,"Therapist, speech and language",Student,Gold,168790,105300,0,14761,0,27920,1,0,Yes,42901,0,Medium,R1142,3,A116
C1143,Kaitlyn Williams,59,L343,2009-05-15,338.406.5700,Belize,"Scientist, physiological",Standard,Bronze,135134,289660,0,10212,0,82947,1,0,No,13000,2,Low,R1143,2,A101
C1144,Lori Moss,39,L344,2012-01-14,(037)539-1171,Korea,Database administrator,Premium,Bronze,158554,111436,2,10100,4,19967,0,0,No,49600,1,Low,R1144,3,A102
C1145,Samantha Thomas,63,L345,2009-01-16,793-572-4865,Hungary,Research scientist (life sciences),Business,Platinum,79497,289333,4,11662,4,90466,0,0,No,42802,0,Medium,R1145,3,A118
C1146,Courtney Schultz,47,L346,2008-11-08,(078)043-2611x49266,Panama,Armed forces logistics/support/administrative officer,Premium,Platinum,192055,46905,4,938,4,12387,1,1,No,15621,0,Low,R1146,1,A115
C1147,Thomas Valentine,74,L347,2014-04-02,7000102082,Reunion,Software engineer,Standard,Bronze,143799,302263,1,17370,0,60485,0,1,Yes,2200,1,Low,R1147,2,A113
C1148,Brian Sharp,25,L348,2007-01-12,+1-492-539-1509x3100,Martinique,Musician,Standard,Gold,142108,3446,4,16429,4,24894,1,0,Yes,37378,2,Medium,R1148,1,A111
C1149,William Davidson,34,L349,2018-11-10,658.177.0859,Spain,Personnel officer,Business,Platinum,34131,139175,4,8153,1,27942,0,1,No,11932,2,High,R1149,1,A100
C1150,Sabrina Barnes,53,L350,2025-08-15,492.051.3494x3875,Barbados,Financial trader,Standard,Bronze,78253,481768,2,15769,4,78726,0,1,No,25501,1,Medium,R1150,3,A117
C1151,Audrey Williams,27,L351,2018-01-23,2879933958,Spain,Research scientist (medical),Standard,Gold,147315,82589,0,5693,2,99562,1,0,No,12998,1,Low,R1151,1,A109
C1152,Robert Flores,67,L352,2023-12-18,274.225.5766x004,Bangladesh,Restaurant manager,Student,Platinum,53695,482104,0,17704,3,3690,1,1,No,45066,2,High,R1152,3,A108
C1153,Patrick Wallace,77,L353,2016-03-20,+1-819-985-6877,Bangladesh,"Editor, film/video",Student,Gold,95726,98332,0,18135,2,72098,1,0,No,31556,2,High,R1153,2,A108
C1154,Sandra Stafford,59,L354,2016-09-08,001-108-352-9044x52594,Saint Helena,Operational investment banker,Business,Platinum,178070,405383,0,15901,1,29400,1,1,Yes,2398,0,High,R1154,3,A115
C1155,Crystal Gentry,51,L355,2020-10-13,+1-037-235-1940x80841,Equatorial Guinea,Amenity horticulturist,Standard,Silver,188492,187487,3,12653,1,41093,1,1,Yes,37242,0,High,R1155,2,A114
C1156,Laura Hernandez,71,L356,2009-11-07,+1-078-164-1406x843,Suriname,Surgeon,Business,Gold,78438,39251,2,1386,1,56819,0,0,Yes,37306,1,High,R1156,3,A106
C1157,Megan Thornton,79,L357,2010-11-23,001-093-352-0174x2082,Greece,Scientific laboratory technician,Standard,Silver,103504,492122,2,9906,0,5574,1,1,Yes,23960,0,High,R1157,1,A112
C1158,Colleen Thompson,36,L358,2011-11-20,2309684190,Chile,"Teacher, secondary school",Business,Silver,75444,258545,4,4267,1,29148,1,0,Yes,20406,1,High,R1158,1,A100
C1159,Sharon Hammond,69,L359,2021-01-06,+1-162-499-1353x5950,Tuvalu,"Librarian, public",Standard,Bronze,118195,294029,3,2697,3,8459,0,0,Yes,37834,0,High,R1159,2,A115
C1160,Dawn Mills,70,L360,2018-01-01,714.510.5929x9645,Greenland,Broadcast presenter,Premium,Silver,128737,439149,0,14835,1,19759,0,0,Yes,43200,0,Medium,R1160,2,A104
C1161,Rodney Horton,42,L361,2012-04-19,098.427.1578x697,Afghanistan,Ship broker,Student,Gold,197653,267407,4,4054,1,60437,0,1,Yes,23100,2,High,R1161,1,A111
C1162,Julie Clark,21,L362,2018-08-12,604-734-6482x069,Singapore,Information officer,Standard,Gold,84909,198677,4,10650,2,53829,1,1,No,43173,1,High,R1162,2,A106
C1163,Richard Henderson,32,L363,2006-12-12,643-868-1206,Sao Tome and Principe,Information systems manager,Student,Platinum,189429,104099,3,3956,4,46751,0,1,No,21450,0,High,R1163,1,A114
C1164,Jasmin Salazar,69,L364,2019-11-24,(300)083-7233x32798,Pakistan,Counsellor,Business,Silver,113026,117354,3,11326,2,38242,1,0,Yes,6054,0,Low,R1164,2,A115
C1165,Brad Bates,60,L365,2017-08-16,5682652349,Togo,Advertising art director,Premium,Bronze,141953,1617,2,3490,3,10210,1,0,No,19053,1,Low,R1165,1,A111
C1166,Leonard Berger,27,L366,2011-11-30,8809267198,Seychelles,Chartered public finance accountant,Student,Platinum,81123,188563,3,13443,2,98857,0,1,Yes,128,1,High,R1166,1,A107
C1167,Scott Ryan,76,L367,2015-05-22,532.134.6638,Guatemala,Orthoptist,Student,Gold,78736,266303,2,7742,3,79061,0,1,Yes,23893,0,Low,R1167,2,A104
C1168,Christopher Williams,19,L368,2023-10-17,001-667-831-2639,Greece,Bonds trader,Standard,Gold,179420,1015,0,12609,4,67571,1,1,Yes,38083,2,High,R1168,2,A110
C1169,Angela Johnson,63,L369,2015-03-27,+1-242-710-3334,Grenada,Town planner,Business,Platinum,53672,223751,2,5214,0,54470,1,1,Yes,20675,2,High,R1169,3,A104
C1170,Jeffrey Collier,39,L370,2018-03-23,+1-053-352-4437x70593,Guatemala,Risk analyst,Standard,Gold,54882,387010,0,19664,1,69704,1,1,No,49425,1,Medium,R1170,1,A100
C1171,Mark Jordan,38,L371,2009-05-27,001-541-679-9999x0115,Cuba,Tax inspector,Business,Bronze,175357,388977,2,11534,4,79937,0,1,No,15562,0,High,R1171,3,A108
C1172,Andrew Murphy,31,L372,2015-11-27,555-519-7561x86313,Philippines,"Engineer, materials",Premium,Bronze,120770,461988,1,12064,0,38364,0,0,No,7716,0,Medium,R1172,3,A119
C1173,James Costa DDS,79,L373,2025-08-03,3112401412,Austria,Exhibition designer,Business,Platinum,120262,390698,2,16005,0,25639,1,1,Yes,5023,2,High,R1173,3,A112
C1174,Mary Martinez,32,L374,2017-05-16,001-148-098-0730,Netherlands,Land/geomatics surveyor,Business,Gold,43089,497553,0,18488,3,75440,0,0,No,18564,2,Low,R1174,2,A116
C1175,Ashley Sparks,56,L375,2015-05-01,304.341.8616x2798,Lithuania,Charity officer,Business,Platinum,55109,24560,3,7577,4,42994,1,0,No,32202,0,Medium,R1175,2,A115
C1176,Robert Moore,20,L376,2006-11-20,250-797-6280x543,French Polynesia,"Engineer, aeronautical",Premium,Silver,97020,409908,4,5875,4,65,1,1,Yes,49773,0,High,R1176,1,A108
C1177,Brooke Gardner,40,L377,2015-11-29,2687711263,Puerto Rico,"Therapist, speech and language",Premium,Silver,56524,113918,4,792,2,45448,0,1,No,30644,2,High,R1177,1,A119
C1178,Greg Brewer,47,L378,2011-04-22,(590)505-7553x81983,Norfolk Island,Operational researcher,Business,Bronze,109885,255385,2,4951,4,29278,0,0,No,45629,0,Low,R1178,3,A106
C1179,Shaun Figueroa,26,L379,2024-11-06,424.887.3068,Montenegro,Fitness centre manager,Student,Bronze,169527,356204,1,8822,4,25769,1,0,Yes,48501,0,Low,R1179,3,A117
C1180,Jill Parks,21,L380,2010-05-21,+1-260-562-1176x07813,Korea,Youth worker,Student,Silver,109477,86089,1,87,2,98435,1,0,Yes,4843,1,Medium,R1180,1,A101
C1181,Annette Frye,78,L381,2014-04-24,001-117-143-6137x55438,Jersey,Lobbyist,Standard,Gold,95313,217549,2,5783,1,16943,1,1,Yes,22669,1,High,R1181,2,A117
C1182,Andres Green,44,L382,2017-04-21,172.139.6997x7546,Tokelau,"Presenter, broadcasting",Business,Platinum,188566,308649,2,5180,2,16818,0,1,Yes,39348,2,Medium,R1182,3,A114
C1183,Robert Morris,32,L383,2006-06-04,444-573-5859,United States Minor Outlying Islands,Educational psychologist,Premium,Gold,115007,100536,1,8072,0,37978,1,1,No,7696,0,Medium,R1183,2,A109
C1184,William Cordova,59,L384,2021-08-12,935.240.3512x7332,Cyprus,Ophthalmologist,Student,Bronze,188314,493598,0,4843,0,61930,1,0,No,42843,2,Low,R1184,2,A105
C1185,Robert Christian,27,L385,2007-02-11,+1-450-222-6016x66047,Denmark,"Research officer, government",Standard,Gold,108267,315535,1,2027,0,5817,0,0,No,43623,2,Medium,R1185,2,A108
C1186,Jason Smith,44,L386,2007-01-08,001-168-342-0256,Northern Mariana Islands,"Engineer, water",Business,Bronze,157899,102937,2,597,0,3297,0,0,Yes,33460,0,Medium,R1186,2,A103
C1187,Jillian Johnson DDS,36,L387,2020-08-16,001-693-297-9545x1346,San Marino,"Civil engineer, contracting",Business,Bronze,95255,84790,1,3782,4,97759,1,1,Yes,44950,1,High,R1187,2,A115
C1188,Catherine Steele,78,L388,2010-04-27,+1-363-652-7094x64799,Mozambique,Educational psychologist,Premium,Gold,198643,112614,4,15243,1,59055,1,1,No,38996,0,High,R1188,1,A107
C1189,Dawn Martinez,56,L389,2008-10-10,7644079490,Saint Vincent and the Grenadines,"Scientist, water quality",Standard,Platinum,91924,119288,4,13931,1,50004,1,0,Yes,10124,2,Low,R1189,1,A107
C1190,Audrey Hicks,19,L390,2013-02-27,5917129799,Guam,"Investment banker, operational",Standard,Platinum,67602,471010,3,16668,2,3851,1,1,Yes,34824,2,Medium,R1190,1,A103
C1191,Sharon Clark,28,L391,2019-06-26,6998858367,Switzerland,"Therapist, drama",Business,Gold,91100,384731,0,9921,2,1959,1,0,Yes,6751,0,Low,R1191,1,A103
C1192,Alicia Jones,70,L392,2021-12-28,+1-819-352-5920x3008,Germany,Farm manager,Student,Bronze,97558,265337,2,17251,2,20520,1,1,Yes,3630,2,Low,R1192,3,A106
C1193,Terri Ray,76,L393,2011-05-28,001-635-943-5656x2081,Costa Rica,"Engineer, energy",Premium,Platinum,150442,497060,4,15258,4,71645,1,1,No,8158,1,Medium,R1193,2,A113
C1194,Jacqueline Salazar,43,L394,2019-05-16,487-935-3844x0947,Guinea-Bissau,Recycling officer,Standard,Gold,195271,230237,3,7571,0,38769,1,1,Yes,24614,2,Medium,R1194,2,A119
C1195,Carla Haynes,50,L395,2017-06-26,001-365-726-0624x87009,Equatorial Guinea,"Loss adjuster, chartered",Student,Silver,177431,371290,0,16351,4,71763,0,0,Yes,10155,1,Low,R1195,2,A107
C1196,Beverly Johnson,70,L396,2020-06-22,520-041-4455,Saint Helena,"Scientist, research (maths)",Premium,Bronze,159650,201275,3,16749,1,83684,0,1,No,7094,0,Low,R1196,2,A109
C1197,Dawn Powell,53,L397,2011-10-30,(148)990-3583x5414,Northern Mariana Islands,"Surveyor, quantity",Standard,Platinum,113248,281289,1,11311,4,68541,1,1,No,21012,0,High,R1197,3,A108
C1198,Lindsay Christensen,54,L398,2017-03-09,038-807-7575x3145,Djibouti,"Engineer, manufacturing systems",Student,Bronze,134148,461222,4,6539,3,2534,0,0,No,48911,2,Low,R1198,2,A119
C1199,Frederick Parrish,50,L399,2018-09-21,361-601-0282x8070,Puerto Rico,Geographical information systems officer,Student,Platinum,164684,244709,0,17992,4,92626,1,1,No,26714,0,Low,R1199,1,A103
C1200,Mary Vasquez,42,L400,2021-04-26,001-984-573-2777x717,Micronesia,"Engineer, control and instrumentation",Standard,Silver,134533,463015,2,13061,4,45198,0,0,Yes,27448,0,Medium,R1200,2,A115
C1201,Lawrence Kline,54,L401,2010-07-21,5334108869,Malta,Dentist,Standard,Bronze,71651,196331,1,6288,1,18225,1,0,No,27549,1,High,R1201,3,A106
C1202,Shannon Bell,24,L402,2015-12-01,116.415.8815x273,Italy,Multimedia specialist,Standard,Platinum,156225,243486,1,4798,1,41682,0,0,Yes,43606,1,Medium,R1202,3,A117
C1203,Jasmine Curry,36,L403,2011-10-14,675-622-9549,Tonga,Haematologist,Business,Silver,31645,85195,1,12900,1,98385,1,0,Yes,9010,2,Low,R1203,1,A109
C1204,Lisa Mcknight,31,L404,2025-03-11,252-879-0746x520,Honduras,Corporate investment banker,Standard,Silver,166517,341105,0,13606,0,35949,1,1,No,49158,0,Medium,R1204,3,A100
C1205,Benjamin Suarez,65,L405,2018-09-14,1737649476,Canada,Licensed conveyancer,Standard,Silver,33635,170950,3,4014,0,1494,1,1,Yes,12241,2,High,R1205,2,A107
C1206,Eric Hall,72,L406,2011-06-24,689.077.4779x4249,Montserrat,Dealer,Standard,Gold,190611,409080,2,5610,2,59447,1,1,No,23363,0,Medium,R1206,1,A113
C1207,Alexandra Hess,30,L407,2014-07-24,592.845.9836,Sierra Leone,Amenity horticulturist,Business,Bronze,45579,159806,4,16112,3,50785,1,0,Yes,6741,0,Medium,R1207,2,A101
C1208,Ruth Willis,36,L408,2009-10-28,311.454.7380x040,Nicaragua,"Engineer, materials",Student,Gold,146315,83949,3,19672,4,72136,0,1,No,16382,0,Low,R1208,3,A117
C1209,Paul Alvarado,20,L409,2006-08-26,864.035.3145,Panama,Interior and spatial designer,Standard,Gold,36497,368222,0,9390,1,84543,0,0,Yes,10413,1,Medium,R1209,2,A110
C1210,Derek Martinez,63,L410,2007-02-13,063-811-1433,Costa Rica,Advertising account planner,Student,Silver,51255,261225,3,14622,0,31948,1,0,Yes,10413,0,Medium,R1210,3,A114
C1211,James Fuller,58,L411,2020-01-15,+1-573-502-3619x955,Samoa,Community education officer,Standard,Silver,85970,226313,2,11679,4,7145,1,0,Yes,30016,0,Low,R1211,3,A115
C1212,Brandon Williams,62,L412,2024-03-04,(005)774-7999,Malawi,"Investment banker, operational",Business,Gold,75136,26114,1,12387,4,60310,1,1,Yes,48571,1,Medium,R1212,1,A101
C1213,Mark Baxter,70,L413,2017-03-23,572-576-0643,Guyana,Trading standards officer,Student,Silver,141487,25801,2,15433,3,20217,1,0,No,12800,0,High,R1213,3,A111
C1214,Douglas Lawson,48,L414,2009-03-19,+1-513-851-0789,Belgium,"Radiographer, therapeutic",Standard,Platinum,30713,4351,0,4128,0,70060,0,0,Yes,42628,1,High,R1214,1,A107
C1215,Teresa Taylor,78,L415,2020-01-14,001-560-553-7991,Dominica,Financial risk analyst,Student,Gold,192202,167279,4,9491,4,88635,0,1,No,32211,2,Low,R1215,3,A117
C1216,Deborah Lowe,75,L416,2008-06-07,+1-582-053-1713x510,Jersey,Dentist,Business,Bronze,77566,88677,3,18349,0,8304,1,1,Yes,9701,2,Low,R1216,3,A119
C1217,Nicole Ross,64,L417,2025-03-19,775-986-2971,Senegal,Hotel manager,Student,Gold,26355,279032,0,16900,0,7489,0,1,No,46094,1,Low,R1217,3,A102
C1218,Rodney Edwards,62,L418,2017-01-08,812.832.0450x242,China,Commercial horticulturist,Premium,Platinum,31652,213670,1,15708,3,5831,1,1,Yes,21941,1,High,R1218,2,A117
C1219,Victoria Rodriguez,37,L419,2013-10-08,(289)570-8979,Oman,Patent examiner,Standard,Gold,156119,499222,2,8214,1,21235,1,1,No,8499,1,Medium,R1219,1,A117
C1220,Kathleen Santiago,18,L420,2008-02-05,(577)079-6365,Tonga,Petroleum engineer,Premium,Gold,133262,233601,1,7754,1,7250,0,0,No,36072,2,High,R1220,1,A105
C1221,Cristian Mitchell,55,L421,2010-04-07,+1-857-587-6430,Colombia,Horticultural consultant,Student,Silver,46478,237927,1,19822,0,29161,0,0,No,44916,0,Low,R1221,3,A106
C1222,Carol Chase,30,L422,2021-07-21,140-304-5214x979,Moldova,Housing manager/officer,Premium,Platinum,170245,42654,1,5207,2,70690,0,1,No,12045,2,High,R1222,1,A113
C1223,Raymond Mcdonald,22,L423,2011-12-26,264.821.6081,United Arab Emirates,"Scientist, research (life sciences)",Business,Bronze,41413,97614,0,17632,0,85098,0,1,Yes,13862,2,Low,R1223,3,A114
C1224,Amber Gordon DDS,73,L424,2015-07-10,(626)533-0141x1697,Eritrea,Associate Professor,Business,Silver,77122,151309,4,1972,0,38867,1,1,No,47362,0,Low,R1224,1,A117
C1225,Carolyn Jones,62,L425,2009-02-09,+1-360-749-6349x37054,Papua New Guinea,Merchant navy officer,Student,Gold,34556,417031,4,2921,1,49718,0,0,Yes,24923,0,Low,R1225,2,A111
C1226,Christopher Brown,45,L426,2006-11-13,382-389-1922x6323,Sri Lanka,Armed forces training and education officer,Standard,Silver,51295,146633,0,14913,1,43825,0,0,No,15406,0,Medium,R1226,3,A116
C1227,Vincent Hamilton,79,L427,2013-01-08,569-372-9265x18073,South Georgia and the South Sandwich Islands,Firefighter,Standard,Silver,90114,219214,2,18338,3,13810,0,1,No,41493,1,Low,R1227,3,A113
C1228,Bradley Koch,46,L428,2012-04-30,001-886-921-4947x82031,United States Virgin Islands,"Designer, multimedia",Standard,Platinum,194290,291569,1,17727,0,72881,1,1,Yes,33028,1,High,R1228,1,A117
C1229,Henry Tran,19,L429,2017-06-10,1378475418,Zambia,Research scientist (life sciences),Standard,Platinum,199591,99114,4,6297,1,37324,0,0,No,5839,0,High,R1229,2,A107
C1230,Michael Mack,59,L430,2015-01-31,130-111-6465x200,South Georgia and the South Sandwich Islands,Camera operator,Business,Platinum,98658,4107,4,17383,4,95430,1,1,No,25964,1,Low,R1230,2,A116
C1231,Timothy Stokes,78,L431,2013-07-24,491.512.8733x374,Guinea-Bissau,Forest/woodland manager,Student,Silver,41018,100128,3,16695,4,32371,0,0,No,8328,0,Medium,R1231,1,A105
C1232,Tyler Carter,45,L432,2016-08-26,(241)624-8406,Gibraltar,Ergonomist,Business,Bronze,43598,251020,0,3056,2,9884,1,1,No,10435,1,High,R1232,1,A109
C1233,Amy Doyle,32,L433,2012-12-20,808.434.4952,Qatar,Mental health nurse,Standard,Gold,180665,305734,4,9074,2,3871,1,0,Yes,3391,0,Low,R1233,3,A116
C1234,David Rojas,27,L434,2025-08-12,(051)514-8503x568,Slovakia (Slovak Republic),Fish farm manager,Business,Silver,119699,160932,1,2506,2,84003,0,1,No,47349,0,Medium,R1234,3,A110
C1235,Michael Patterson,30,L435,2022-05-18,(844)975-7974x602,Iceland,"Therapist, art",Premium,Gold,96185,69138,2,8595,1,1673,0,1,No,44207,0,Medium,R1235,2,A106
C1236,Lisa Welch,30,L436,2014-12-04,088.646.6804x198,Korea,"Teacher, secondary school",Student,Silver,79602,358075,0,6219,1,31515,1,0,No,16170,1,Low,R1236,2,A104
C1237,Jessica Chang,23,L437,2025-01-14,445.179.1734x4516,Congo,"Engineer, land",Premium,Silver,138089,334904,0,1306,4,28182,1,1,Yes,12328,2,Low,R1237,3,A110
C1238,Amy Aguirre,69,L438,2013-09-28,201-113-9142x4024,Antarctica (the territory South of 60 deg S),Product manager,Standard,Silver,141972,280590,4,4054,1,1105,0,0,No,38398,2,Low,R1238,2,A114
C1239,Samuel Carpenter,78,L439,2022-05-22,(641)463-7602,Burkina Faso,Manufacturing engineer,Premium,Gold,132274,468562,2,5202,4,33709,0,1,No,21992,2,Low,R1239,3,A103
C1240,Andre Brooks,33,L440,2006-02-01,175-104-4565x490,Sri Lanka,Production engineer,Standard,Bronze,138799,373540,2,13396,4,3239,0,1,Yes,13612,2,Low,R1240,1,A108
C1241,Thomas Smith,56,L441,2011-11-05,615.825.4563,Finland,Landscape architect,Business,Platinum,87527,242052,3,13956,0,35704,1,0,No,13730,0,Low,R1241,3,A105
C1242,Nina Vargas,37,L442,2008-08-22,001-099-347-2676x246,Burkina Faso,Public affairs consultant,Business,Bronze,115836,219429,0,17156,2,52674,0,1,No,21068,2,Low,R1242,3,A119
C1243,Sophia Brown,27,L443,2011-09-01,001-774-646-1214,Mali,Tourist information centre manager,Business,Platinum,175651,253309,1,2908,1,75094,0,0,No,44760,2,High,R1243,2,A100
C1244,Beth Moore,24,L444,2019-06-12,800.307.4095x322,Svalbard & Jan Mayen Islands,Sales promotion account executive,Standard,Gold,109582,437979,2,18959,2,33572,1,1,Yes,14843,1,Low,R1244,3,A108
C1245,Leslie Young,67,L445,2018-06-23,001-826-226-8242x94034,Azerbaijan,IT trainer,Standard,Gold,110774,80061,4,15108,1,17839,0,1,No,15061,1,Medium,R1245,3,A109
C1246,Nicholas Beltran,69,L446,2024-01-04,635.190.4906,United Arab Emirates,Prison officer,Premium,Gold,195104,150047,0,1251,0,87417,1,0,No,42340,2,High,R1246,3,A110
C1247,Dr. Maria Alexander,55,L447,2021-06-27,787-857-7217,Guyana,"Therapist, sports",Premium,Bronze,96752,251018,1,9703,4,96548,0,1,Yes,39384,0,High,R1247,1,A112
C1248,Ryan Gonzalez,47,L448,2023-08-19,938-302-0269x12276,Paraguay,Technical brewer,Student,Bronze,171639,228050,4,18156,3,1488,1,1,No,34845,1,High,R1248,1,A107
C1249,Roberto Barrett,71,L449,2022-04-14,9432218036,Malawi,Insurance broker,Premium,Silver,25980,254509,1,12307,0,83413,0,1,Yes,6612,0,Medium,R1249,2,A114
C1250,Jared Erickson,60,L450,2007-01-30,(184)673-7991,Algeria,Optometrist,Business,Silver,110432,406996,3,3560,2,85208,0,0,No,34878,2,High,R1250,3,A104
C1251,Dr. Christina Powell,62,L451,2016-12-14,(760)532-1165x32297,Comoros,Air traffic controller,Premium,Gold,134563,71456,2,2179,1,3259,1,1,No,12477,2,Medium,R1251,1,A111
C1252,Benjamin Bradford,65,L452,2016-08-15,159-960-3839,Guam,Hydrographic surveyor,Standard,Gold,170069,408478,1,17875,0,19264,0,1,Yes,16665,2,Low,R1252,3,A110
C1253,Jeremiah Miranda,68,L453,2024-03-01,001-681-331-8093x51726,Bosnia and Herzegovina,"Solicitor, Scotland",Business,Silver,50023,181590,3,11898,4,3570,1,0,Yes,27166,0,Medium,R1253,1,A101
C1254,Alexander Lewis,54,L454,2020-12-12,497-121-4455x994,Comoros,"Therapist, drama",Premium,Bronze,105593,182268,2,7050,4,65536,0,0,No,15838,2,Low,R1254,2,A118
C1255,Tanya Parsons,24,L455,2010-06-27,001-803-474-5724x84803,Belarus,Insurance underwriter,Premium,Bronze,54173,225661,3,12939,1,98340,1,1,Yes,37651,0,Medium,R1255,1,A110
C1256,Dana Coleman,36,L456,2010-03-13,001-523-129-7684x3638,Slovakia (Slovak Republic),"Pilot, airline",Premium,Silver,44063,376835,2,3132,1,29873,0,0,No,47880,0,Medium,R1256,1,A118
C1257,Cindy Perry,60,L457,2007-07-09,372.397.2786,Namibia,"Engineer, civil (contracting)",Student,Silver,57953,443053,0,1081,1,82096,1,0,No,22345,2,Medium,R1257,3,A119
C1258,Timothy Frost,32,L458,2011-04-22,(095)192-7534x40459,Jersey,Hydrologist,Premium,Bronze,160366,282821,4,4902,4,80965,0,1,No,34702,2,High,R1258,2,A106
C1259,Anthony Noble,20,L459,2016-02-02,(848)589-9609x05452,Malaysia,"Scientist, biomedical",Student,Silver,157423,329275,0,15500,1,50252,0,1,Yes,29007,1,Medium,R1259,1,A111
C1260,Brandon Klein,23,L460,2019-08-18,+1-526-412-6037x104,Burkina Faso,Computer games developer,Student,Platinum,85514,145921,0,17551,3,18938,0,1,Yes,21033,0,Low,R1260,3,A117
C1261,Thomas Walker,72,L461,2022-08-01,(152)881-9073x2122,Reunion,Primary school teacher,Standard,Bronze,81223,438537,1,10780,2,98342,0,0,Yes,41542,2,Low,R1261,1,A111
C1262,James Coleman,35,L462,2015-12-24,+1-861-143-8413x84901,Kiribati,"Therapist, horticultural",Standard,Gold,78350,98148,3,2824,2,90566,0,1,No,48732,2,Low,R1262,3,A108
C1263,Michelle Webb,28,L463,2011-10-17,9949904783,Bahamas,Research scientist (maths),Business,Platinum,147397,103445,4,6852,4,42102,0,0,No,43316,2,Medium,R1263,3,A116
C1264,Amanda Cruz,38,L464,2025-03-25,001-782-533-2462,Finland,Engineering geologist,Premium,Platinum,65894,256509,2,15679,1,77283,1,1,No,30417,0,High,R1264,1,A106
C1265,Nancy Farmer,67,L465,2024-09-19,(538)054-6630,Papua New Guinea,Community pharmacist,Student,Bronze,177909,108694,2,19624,1,52479,0,1,Yes,44194,1,Low,R1265,1,A101
C1266,Steven Leach,44,L466,2013-06-11,471.618.1573x172,Solomon Islands,Civil Service fast streamer,Business,Bronze,60385,410780,1,12638,1,17735,0,1,Yes,34524,0,High,R1266,2,A101
C1267,Cameron Smith,30,L467,2019-01-04,167.059.0284x931,Solomon Islands,Brewing technologist,Premium,Bronze,80455,11242,2,18292,3,40988,1,1,No,23076,0,High,R1267,1,A108
C1268,Gregory Mccann,37,L468,2019-12-19,497.421.8150,Togo,Proofreader,Standard,Platinum,116086,123425,1,7742,3,29202,0,0,No,39982,0,High,R1268,3,A100
C1269,Lisa Gray DDS,34,L469,2011-01-27,(288)611-8089,Luxembourg,Geophysicist/field seismologist,Student,Gold,96024,438769,0,6697,0,97617,0,0,No,22006,0,High,R1269,1,A116
C1270,Connie Irwin,49,L470,2006-01-26,628.907.1022x079,Guam,Chartered certified accountant,Student,Platinum,28311,424946,0,15032,0,17085,0,1,No,13427,2,Low,R1270,1,A111
C1271,Patrick Perry,56,L471,2010-08-21,680-192-0850,Taiwan,Product manager,Student,Silver,108684,105798,3,13750,1,87850,0,0,Yes,33899,0,Low,R1271,3,A115
C1272,Gabrielle Villegas,62,L472,2010-07-19,751.787.1146,Qatar,"Research officer, political party",Premium,Silver,192564,143568,4,17611,2,30638,1,1,No,40753,1,High,R1272,3,A119
C1273,Katie Baker,51,L473,2020-08-13,(677)469-3239,Grenada,"Engineer, aeronautical",Business,Gold,63952,328013,2,10837,3,67196,0,1,No,42172,2,Medium,R1273,3,A105
C1274,Rita Anthony,55,L474,2008-03-10,551-016-1459,Zambia,Horticultural consultant,Student,Gold,152187,442772,1,14295,2,14851,0,1,No,31568,0,Medium,R1274,3,A114
C1275,Wanda Ali,36,L475,2020-12-29,(547)245-0467,Sao Tome and Principe,"Psychologist, sport and exercise",Standard,Platinum,169711,300827,2,2343,4,19496,1,0,Yes,10695,2,High,R1275,3,A115
C1276,Audrey Howard,34,L476,2016-02-20,022-645-2848x043,Vanuatu,Ambulance person,Premium,Bronze,174780,450653,2,12386,2,65431,0,1,Yes,18142,0,High,R1276,1,A119
C1277,Kayla Jenkins,49,L477,2025-01-25,956-883-0150x33540,Yemen,Architect,Business,Silver,198505,294371,1,3990,3,94736,1,1,Yes,27403,0,Low,R1277,2,A115
C1278,Rachel Soto,34,L478,2017-08-15,327-450-1018,Fiji,Medical secretary,Premium,Silver,132143,375339,4,11798,0,89255,1,1,Yes,35087,2,Low,R1278,1,A105
C1279,Cheryl Young,20,L479,2013-11-28,+1-770-447-4386x2357,Guernsey,Government social research officer,Standard,Platinum,126905,320943,1,16545,0,74704,0,1,Yes,5475,0,High,R1279,3,A108
C1280,Cassidy Osborne,33,L480,2012-09-25,+1-739-522-4147x64240,San Marino,"Scientist, research (physical sciences)",Student,Silver,52060,150466,0,8433,3,5328,1,1,No,6071,0,Medium,R1280,1,A116
C1281,Kyle Ingram,63,L481,2007-09-03,+1-759-949-6814x8226,Congo,Senior tax professional/tax inspector,Business,Bronze,128246,355294,4,16003,0,94122,1,1,Yes,33766,0,Low,R1281,3,A102
C1282,Charles Dickson PhD,48,L482,2015-02-03,474.928.5259x627,Guernsey,Television/film/video producer,Premium,Platinum,156822,454768,0,14198,3,4961,1,1,Yes,23167,1,Low,R1282,3,A102
C1283,Angie Parker,26,L483,2017-12-13,(500)490-2780x33331,Mauritania,Advertising copywriter,Business,Silver,166018,367992,2,10380,4,11362,1,1,No,22361,2,High,R1283,2,A116
